No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
315,a,,None,a,correct,correct,,,,lines with a vowel or using only the string <M0> at least once,( ( [ <VOW> ] ) | ( <M0> ) ) +,用元音或仅使用字符串<M0>至少一次,use vowels or use the string <M0> at least once,( ( [ <VOW> ] ) + | ( ( <M0> ) + ) ) | ( <M0> ),0.677419355,0.6414143139999999,9,0.608695652,0.52631579,0.87729276,0.625131958,0.628638652,0.517213487,0.529411765,0.46218487399999997,1.0,1.0,1.0,0.764705882,0.749019608
316,FW,,FW,bug,correct,bug,affiliation,affiliation,affiliation,"lines with a number before a vowel , up to 2 times","( [ <NUM> ] ) . * ( ( [ <VOW> ] ) { , 2 } ) . *",在元音前的数字行，最多2次,"number line before vowel , up to 2 times","( [ <NUM> ] ) . * ( ( [ <VOW> ] ) { , 2 } ) . *",0.66,0.620168955,9,0.608695652,0.52631579,0.9677933759999999,0.906486463,0.7114872440000001,0.634116283,1.0,1.0,1.0,1.0,1.0,1.0,1.0
317,c,plural,p,correct,bug,bug,,,,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total","( [ <VOW> ] ) . * ( ( [ <CAP> ] ) { 6 , } ) . *",在大写字母前用元音排列的行，总计大于或等于6次,"rows arranged with vowels before capital letters , a total of greater than or equal to 6 times","( [ <VOW> ] ) + . * ( ( [ <LET> ] ) + { 6 , } ) . *",0.684210526,0.649697104,9,0.608695652,0.52631579,0.9558059459999999,0.869219121,0.826824599,0.79686207,0.8,0.771428571,False,0.0,0.0,0.4,0.36
318,c,,None,correct,correct,correct,,,,"strings with the string <M0> before either a letter , a lower-case letter , or the string <M1>",( <M0> ) . * ( ( [ <LET> ] ) | ( [ <LOW> ] ) | ( <M1> ) ) . *,在字母，小写字母或字符串<M1>之前带有字符串<M0>的字符串,"a string with the string <M0> before the letter , lowercase letter or string <M1>",( ( <M0> ) . * ( <M0> ) . * ) | ( ( <M1> ) | ( <M1> ) ),0.8191489359999999,0.8142735179999999,9,0.608695652,0.52631579,0.984751178,0.9592060379999999,0.767889928,0.713702807,0.590909091,0.5324675320000001,0.0002980626,0.000298063,0.000298063,0.295603577,0.248643815
319,c,,None,correct,correct,correct,,,,lines arranged with the string <M0> followed by the string <M1> and not the string <M2>,( <M0> . * <M1> . * ) & ( ~ ( <M2> ) ),行以字符串<M0>排列，后跟字符串<M1>，而不是字符串<M2>,"the lines are arranged with the string <M0> , followed by the string <M1> , not the string <M2>",( . * ) ( ( <M1> . * <M1> . * ) & ( <M2> ) ),0.863157895,0.8679486470000001,9,0.608695652,0.52631579,0.9768844640000001,0.93474946,0.8628868820000001,0.847747445,0.5555555560000001,0.49206349200000005,0.0,0.0,0.0,0.27777777800000003,0.22962963
320,FW,plural,FW,bug,bug,bug,quantifier ,quantity,quantifier,"lines with characters or a lower-case letter , four or more times","( ( . ) + | ( [ <LOW> ] ) ) { 4 , }",四行或更多行包含字符或小写字母的行,four or more lines containing characters or lowercase letters,4 * ( . ) + | ( [ <LET> ] ) . *,0.307692308,0.190480058,9,0.608695652,0.52631579,0.889806555,0.6640357,0.692381296,0.607156999,0.636363636,0.5844155839999999,1.0,1.0,1.0,0.818181818,0.806060606
321,c,,None,correct,correct,correct,,,,"lines with an uppercase letter , zero or more times in front of a digit",( ( [ <CAP> ] ) * ) . * ( [ <NUM> ] ) . *,大写字母的行，在数字前零次或多次,"capital letters , zero or more times before the number",( ( [ <LET> ] ) + * ) . * ( ( [ <NUM> ] ) + * ) . *,0.478873239,0.399259336,9,0.608695652,0.52631579,0.8317552029999999,0.483561686,0.44911685,0.263900786,0.666666667,0.6190476189999999,False,0.0,0.0,0.333333333,0.288888889
322,BW,BW,BW,bug,bug,bug,Under-translation,ut,under-translation,lines starting with words that have a capitalized letter followed by a character,( \ b [ <CAP> ] . * . . * \ b ) ( . * ),以大写字母开头，后跟一个字符的单词开头的行,lines beginning with a capital letter followed by a character,( [ <CAP> ] . * . . * ) ( . * ),0.675,0.638463569,9,0.608695652,0.52631579,0.938892469,0.816637347,0.6372611260000001,0.529380155,0.857142857,0.8367346940000001,0.0,0.0,0.0,0.428571429,0.39047619
323,c,,None,correct,correct,correct,,,,"lines with a digit then a vowel , 0 or more times",( [ <NUM> ] . * [ <VOW> ] . * ) *,用数字然后是元音的行，0次或更多次,"use numbers and then vowel lines , 0 or more times",( [ <NUM> ] . * ) <NUM> . * *,0.52,0.44941921799999995,9,0.608695652,0.52631579,0.911372845,0.7310824570000001,0.64607655,0.541819084,0.7777777779999999,0.746031746,False,0.0,0.0,0.38888888899999996,0.348148148
324,p,plural,p,bug,bug,bug,,,,"lines with words that have starting with a capitalized letter , 2 or more times in total","( \ b ( [ <CAP> ] ) ( . * ) \ b ) { 2 , }",以大写字母开头的单词的行，总共2次或更多次,"rows of words starting with capital letters , 2 or more times in total",". * ( ( [ <LET> ] ) + ( . * ) ) { 2 , } \ b",0.7159090909999999,0.688357973,9,0.608695652,0.52631579,0.949078364,0.848303954,0.655290371,0.554820167,0.5,0.428571429,0.00010292300999999999,0.00010292299999999999,0.00010292299999999999,0.250051462,0.20005489199999998
325,FW,,FW,bug,correct,bug,quantifier ,ut/quantity,"quantifier, under-translation",the line begins with a character in front of a vowel at least once,( ( . ) ( . * ) ) . * ( ( [ <VOW> ] ) + ) . *,该行至少在元音之前以一个字符开头,the line starts with at least one character before the vowel,( ( ( . ) + ) . * ( [ <VOW> ] ) . * ) ( ),0.424242424,0.332629355,9,0.608695652,0.52631579,0.9504506620000001,0.8525702479999999,0.619837276,0.5047943810000001,0.526315789,0.45864661700000003,1.0,1.0,1.0,0.763157895,0.7473684209999999
326,FW,BW,BW,bug,bug,bug,"Over-translation, affiliation",affiliation,"over-translation, affiliation",strings containing a vowel before a capital letter or the string <M0>,. * ( ( [ <VOW> ] ) . * ( [ <CAP> ] ) . * ) | ( <M0> ) . *,在大写字母之前包含元音的字符串或字符串<M0>,a string or string <M0> containing a vowel before the capital letters,( . * ) ( [ <LET> ] ) . *,0.463768116,0.380836509,2,0.913043478,0.894736842,0.9866892629999999,0.9652312890000001,0.8868993540000001,0.881630038,0.4,0.314285714,0.25904,0.25904,0.25904,0.32952,0.284821333
327,FW,FW,FW,bug,bug,bug,quantifier ,semantic,quantifier,"lines with a letter , zero or greater times before a character",( ( [ <LET> ] ) * ) . * ( . ) . *,字符前的字母行，零次或更多次,"the line of letters before the character , zero or more times",( . * [ <LET> ] . * ) . * ( ( <M0> ) * ) . *,0.322580645,0.20863848399999999,2,0.913043478,0.894736842,0.952878253,0.860117309,0.680349254,0.5901792889999999,0.588235294,0.529411765,0.00020466076000000004,0.000204661,0.000204661,0.29421997699999997,0.247167976
328,c,,None,correct,correct,correct,,,,lines starting with the string <M0> or a vowel,( ( <M0> ) | ( [ <VOW> ] ) ) ( . * ),以字符串<M0>或元音开头的行,lines beginning with the string <M0> or vowel,( ( <M0> ) | ( [ <VOW> ] ) ) ( . * ),0.826086957,0.822735413,1,0.956521739,0.947368421,0.993526767,0.98648819,0.78982343,0.7446518870000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329,c,,None,correct,correct,correct,,,,lines containing words that have starting with digits,. * \ b( [ <NUM> ] ) + ( . * ) \ b . *,包含以数字开头的单词的行,lines containing words that start with numbers,. * \ b ( [ <NUM> ] ) + ( . * ) \ b . *,0.735849057,0.712677572,1,0.956521739,0.947368421,0.972731094,0.9218371790000001,0.6948131959999999,0.610588511,1.0,1.0,1.0,1.0,1.0,1.0,1.0
330,c,,None,correct,correct,correct,,,,"strings with a lowercase letter , no more than 6 times","( [ <LOW> ] ) { , 6 }",带有小写字母的字符串，不超过6次,"string with lowercase letters , no more than 6 times","( [ <LET> ] ) { , 6 }",0.9259259259999999,0.94450311,1,0.956521739,0.947368421,0.988988645,0.972379765,0.877080565,0.86777532,0.75,0.7142857140000001,0.5094,0.5094,0.5094,0.6297,0.6050133329999999
331,BW,FW,FW,bug,bug,bug,order,order,order,lines consisting of the string <M0> before the string <M1> or a letter,. * ( <M0> ) . * ( ( <M1> ) | ( [ <LET> ] ) ) . * . *,由字符串<M0>之前的字符串<M0>或字母组成的行,line consisting of the string <M0> or letters before the string <M0>,. * ( ( <M0> ) | ( [ <LET> ] ) + ) . * ( <M0> ) . * . *,0.642857143,0.599260824,1,0.956521739,0.947368421,0.964558638,0.8964300890000001,0.876488424,0.866939785,0.523809524,0.455782313,4.7683533999999995e-06,4.76835e-06,4.76835e-06,0.26190714600000004,0.21270095600000002
332,c,plural,p,correct,bug,correct,,,,"strings containing an uppercase letter , 2 or more times",". * ( [ <CAP> ] ) { 2 , } . *",包含大写字母的字符串，两次或更多次,"string containing uppercase letters , two or more times",". * ( [ <LET> ] ) { 2 , } . *",0.857142857,0.860612461,1,0.956521739,0.947368421,0.97789844,0.937901778,0.8147394020000001,0.7798093559999999,0.875,0.857142857,0.40202,0.40202,0.40202,0.63851,0.614410667
333,BW,plural,amb,bug,bug,bug,,,,rows with a character followed by a letter,. . * [ <LET> ] . *,字符后跟字母的行,character followed by a line of letters,. * ( . . * [ <LET> ] . * ) + . *,0.5,0.425026399,1,0.956521739,0.947368421,0.9131650029999999,0.736654041,0.72427581,0.65216148,0.46153846200000004,0.384615385,1.0,1.0,1.0,0.7307692309999999,0.7128205129999999
334,c,,None,correct,correct,correct,,,,lines arranged with the string <M0> or a vowel before a letter,( ( <M0> ) | ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,在字母前用字符串<M0>或元音排列的行,rows arranged with the string <M0> or vowel before the letter,( ( <M0> ) | ( [ <VOW> ] ) ) . * ( <M0> ) . *,0.85483871,0.857802229,1,0.956521739,0.947368421,0.9709341029999999,0.91625057,0.8498124420000001,0.829298869,0.9375,0.9285714290000001,2.5640367000000002e-05,2.56404e-05,2.56404e-05,0.46876282,0.433347008
335,FW,ambiguity,FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , no more than 3 times","~ ( ( <M0> ) { , 3 } )",仅包含字符串<M0>的行，最多不超过3次,"lines containing only the string <M0> , no more than 3 times","( . * <M0> . * ) { , 3 }",0.9375,0.958619325,1,0.956521739,0.947368421,0.983855606,0.956421823,0.9236335290000001,0.933463481,0.25,0.14285714300000002,0.0,0.0,0.0,0.125,0.066666667
336,c,,None,correct,correct,correct,,,,"lines containing only the string <M0> , 4 or more times",". * ( <M0> ) { 4 , } . *",仅包含字符串<M0>的行，连续4次或更多次,"lines containing only the string <M0> , 4 or more consecutive times",". * ( <M0> ) { 4 , } . *",0.820895522,0.8164037259999999,1,0.956521739,0.947368421,0.971642259,0.918452134,0.812779248,0.7770434979999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
337,FW,plural,FW,bug,bug,bug,affiliation,affiliation,affiliation,strings with the string <M0> or a letter in front of a vowel,( ( <M0> ) | ( [ <LET> ] ) ) . * ( [ <VOW> ] ) . *,字符串<M0>或元音前面的字母的字符串,string <M0> or a string of letters in front of the vowel,( ( . * ) ( [ <LET> ] ) ) | ( [ <CAP> ] ) . * ( [ <VOW> ] ) . *,0.65,0.607972545,1,0.956521739,0.947368421,0.9849556340000001,0.959841665,0.7783625959999999,0.7284801759999999,0.65,0.6,0.359262,0.35926199999999997,0.35926199999999997,0.504631,0.47160640000000004
338,FW,ambiguity,FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , greater than or equal to 0 times",~ ( ( <M0> ) * ),仅包含字符串<M0>的行，大于或等于0次,"lines containing only the string <M0> , greater than or equal to 0 times",( . * <M0> . * ) *,0.947368421,0.970655255,1,0.956521739,0.947368421,0.962857228,0.891140629,0.9359902520000001,0.9508993290000001,0.375,0.28571428600000004,0.0,0.0,0.0,0.1875,0.133333333
339,FW,,None,bug,correct,correct,,,,lines with a letter or starting with the string <M0> at least once,( ( [ <LET> ] ) | ( ( <M0> ) ( . * ) ) ) +,以字母开头或以字符串<M0>开头的行至少一次,lines beginning with a letter or beginning with the string <M0> at least once,( ( [ <LET> ] ) ( . * ) ) | ( ( <M0> ) + ),0.792207792,0.781414995,1,0.956521739,0.947368421,0.98476198,0.95923962,0.757289806,0.698745596,0.4375,0.35714285700000004,0.8281,0.8281,0.8281,0.6328,0.60832
340,c,,None,correct,correct,correct,,,,the line starts with a vowel or containing the string <M0>,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),该行以元音开头或包含字符串<M0>,the line starts with a vowel or contains the string <M0>,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),0.948275862,0.971762007,0,1.0,1.0,0.9978729820000001,1.0,0.919995282,0.9283297640000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
341,FW,,FW,bug,correct,bug,"order, affiliation",order,"order, affiliation","strings preceded by the string <M0> , 6 or more times","( ( <M0> ) ( . * ) ) { 6 , }",字符串后跟字符串<M0>，6次或更多次,"string followed by the string <M0> , 6 or more times","( . * <M1> . * <M0> . * ) { 6 , }",0.867924528,0.8737622279999999,0,1.0,1.0,0.9176468940000001,0.75058765,0.819373605,0.786348409,0.363636364,0.272727273,0.0,0.0,0.0,0.181818182,0.127272727
342,c,,None,correct,correct,correct,,,,lines consisting of the string <M0>,. * <M0> . *,由字符串<M0>组成的行,line consisting of the string <M0>,. * <M0> . *,0.9714285709999999,1.0,0,1.0,1.0,0.9945265240000001,0.989596302,0.9243310579999999,0.9344477240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
343,c,,None,correct,correct,correct,,,,rows with a character followed by letters,. . * [ <LET> ] . *,字符后跟字母的行,character followed by a line of letters,. * ( . . * [ <LET> ] . * ) + . *,0.463414634,0.38040538799999996,0,1.0,1.0,0.906365141,0.715514165,0.7279163209999999,0.657298391,0.46153846200000004,0.384615385,1.0,1.0,1.0,0.7307692309999999,0.7128205129999999
344,FW,ambiguity,amb,bug,bug,bug,,,,rows with a character before the string <M0> or a vowel,( . ) . * ( ( <M0> ) | ( [ <VOW> ] ) ) . *,在字符串<M0>之前的字符或元音的行,the line of the character or vowel before the string <M0>,( ( . * ) ( ( <M0> ) | ( [ <VOW> ] ) ) ) . * ( <M0> ) . *,0.42105263200000004,0.32873895399999997,0,1.0,1.0,0.9431017509999999,0.8297234509999999,0.703164055,0.622371919,0.590909091,0.5324675320000001,2.4794814000000004e-05,2.4794800000000002e-05,2.4794800000000002e-05,0.295466943,0.248498072
345,FW,,FW,bug,correct,bug,"order, affiliation",order,"order, affiliation","strings preceded by the string <M0> , up to 6 times","( ( <M0> ) ( . * ) ) { , 6 }",字符串后跟字符串<M0>，最多6次,"string followed by the string <M0> , up to 6 times","( . * <M1> . * <M0> . * ) { , 6 }",0.862745098,0.867445183,0,1.0,1.0,0.92121585,0.761683065,0.812014027,0.775963739,0.363636364,0.272727273,0.0,0.0,0.0,0.181818182,0.127272727
346,c,,None,correct,correct,correct,,,,lines ending with the string <M0>,( . * ) ( <M0> ),以字符串<M0>结尾的行,line ending with the string <M0>,( . * ) ( <M0> ),0.96969697,0.997888068,0,1.0,1.0,0.995511466,0.992658358,0.919435397,0.927539743,1.0,1.0,1.0,1.0,1.0,1.0,1.0
347,c,,None,correct,correct,correct,,,,lines arranged with the string <M0> or a vowel before letters,( ( <M0> ) | ( [ <VOW> ] ) ) . *( [ <LET> ] ) + . *,在字母前用字符串<M0>或元音排列的行,rows arranged with the string <M0> or vowel before the letter,( ( <M0> ) | ( [ <VOW> ] ) ) . * ( <M0> ) . *,0.8196721309999999,0.8149116279999999,0,1.0,1.0,0.968912787,0.909966565,0.872727287,0.861632665,0.882352941,0.865546218,2.5640367000000002e-05,2.56404e-05,2.56404e-05,0.44118929100000004,0.40393524299999994
348,FW,ambiguity,amb,bug,bug,bug,,,,lines with a number before a vowel or the string <M0>,( [ <NUM> ] ) . * ( ( [ <VOW> ] ) | ( <M0> ) ) . *,在元音前的数字或字符串<M0>的行,the line of the number or string <M0> before the vowel,( ( . * [ <NUM> ] . * ) | ( <M0> ) ) . * ( [ <VOW> ] ) . *,0.296296296,0.176581015,0,1.0,1.0,0.973860319,0.925347791,0.6870352359999999,0.5996134870000001,0.5,0.428571429,0.062536,0.06253600000000001,0.06253600000000001,0.28126799999999996,0.233352533
349,FW,BW,amb,bug,bug,bug,,,,the line starts with characters or a number before a letter,( ( . ) + | ( ( [ <NUM> ] ) . * ( [ <LET> ] ) . * ) ) ( . * ),该行以字符或字母前的数字开头,the line starts with a number before a character or letter,( ( [ <NUM> ] ) ( . * ) ) . * ( . ) . *,0.576271186,0.518049863,0,1.0,1.0,0.993922392,0.9877181359999999,0.91418645,0.9201332609999999,0.47826087,0.403726708,0.158729,0.158729,0.158729,0.318494935,0.27306126399999997
350,BW,plural,BW,bug,bug,bug,modification,affiliation,"modification, order",strings with a letter followed by the string <M0> before a vowel,( [ <LET> ] . * <M0> . * ) . * ( [ <VOW> ] ) . *,带有字母的字符串，后跟元音前的字符串<M0>,"a string with letters , followed by the string before the vowel <M0>",( [ <LET> ] ) . * ( ( [ <LET> ] ) . * ( [ <VOW> ] ) . * ) . *,0.6911764709999999,0.658193056,3,0.869565217,0.842105263,0.987604176,0.968075633,0.775442987,0.7243604859999999,0.6315789470000001,0.578947368,-1.0,0.0,0.0,0.31578947399999996,0.27017543899999996
351,c,plural,None,correct,bug,correct,,,,"lines arranged with a number or a lower-case letter , up to 3 times in total","( ( [ <NUM> ] ) | ( [ <LOW> ] ) ) { , 3 }",以数字或小写字母排列的行，总共最多3次,"rows arranged in numbers or lowercase letters , up to 3 times in total","( ( [ <NUM> ] ) + | ( [ <LET> ] ) ) { , 3 }",0.815789474,0.81017618,4,0.826086957,0.789473685,0.933699463,0.800492975,0.741620834,0.676636027,0.818181818,0.792207792,0.5873,0.5873,0.5873,0.7027409090000001,0.682923636
352,p,plural,p,bug,bug,bug,,,,"rows containing a letter , a character , and a vowel",. * ( [ <LET> ] ) & ( . ) & ( [ <VOW> ] ) . *,包含字母，字符和元音的行,"lines containing letters , characters and vowels",. * ( [ <LET> ] ) + & ( . ) + . *,0.7307692309999999,0.7064820079999999,4,0.826086957,0.789473685,0.878469011,0.6287887670000001,0.6683251339999999,0.5732127579999999,0.666666667,0.6190476189999999,0.0030048,0.0030048,0.0030048,0.334835733,0.290491449
353,c,plural,None,correct,bug,correct,,,,"lines arranged with a lower-case letter or a vowel , no more than 3 times","( ( [ <LOW> ] ) | ( [ <VOW> ] ) ) { , 3 }",用小写字母或元音排列的行，最多不超过3次,"rows arranged in lowercase letters or vowels , no more than 3 times","( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) { , 3 }",0.808219178,0.8009431370000001,4,0.826086957,0.789473685,0.9213877429999999,0.762217457,0.730374062,0.660766366,0.75,0.7142857140000001,0.60377,0.60377,0.60377,0.6768850000000001,0.6553439999999999
